SUBSET,QUESTION,A,B,C,D,E,TRUE
B4B01DMA,"Ověřte indukcí: 1 + 5 + 9 + ... + (4n-3) = n(4n-2) pro všechna n ∈ ℕ.","Pravdivý.","Nepravdivý, selže základ.","Nepravdivý, selže indukce.","Nelze ověřit.","Pravdivý pouze pro n ≤ 4.","A"
B4B01DMA,"NSD(64, 24) pomocí Euklidova algoritmu je:","4","8","12","16","24","B"
B4B01DMA,"Relace R na množině ℤ: R = {(a, b) : a + b je dělitelné 4}. Které tvrzení je pravdivé?","R není reflexivní.","R není symetrická.","R je ekvivalence.","R není tranzitivní.","R je antisymetrická.","C"
B4B01DMA,"Posloupnost: g(n) = g(n-1) + g(n-2), g(0) = 1, g(1) = 2. Jaká je hodnota g(4)?","5","7","9","11","13","C"
B4B01DMA,"Které číslo je dělitelné 7?","12345","23456","34567","45678","56789","E"
B4B01DMA,"Relace R na množině ℕ: R = {(a, b) : a ≥ b}. Které tvrzení je pravdivé?","R je reflexivní a tranzitivní.","R není reflexivní.","R není symetrická.","R není tranzitivní.","R je ekvivalence.","A"
B4B01DMA,"Ověřte indukcí: 2 + 6 + 10 + ... + (4n-2) = 2n(n+1) pro všechna n ∈ ℕ.","Pravdivý.","Nepravdivý, selže základ.","Nepravdivý, selže indukce.","Nelze ověřit.","Pravdivý pouze pro n ≥ 2.","A"
B4B01DMA,"NSD(36, 15) pomocí Euklidova algoritmu je:","3","6","9","12","15","A"
B4B01DMA,"Relace R na množině ℤ: R = {(a, b) : a = b}. Které tvrzení je pravdivé?","R není reflexivní.","R není symetrická.","R není tranzitivní.","R je antisymetrická.","R je ekvivalence.","E"
B4B01DMA,"Posloupnost: h(n) = 3h(n-1) + 1, h(0) = 1. Jaká je hodnota h(3)?","13","31","40","121","364","B"
B4B01DMA,"Které tvrzení o celých číslech je pravdivé?","Součet dvou lichých čísel je liché.","Součin dvou sudých čísel je liché.","Součet sudého a lichého čísla je liché.","Každé celé číslo je dělitelné 3.","Součin dvou lichých čísel je sudý.","C"
B4B01DMA,"Relace R na množině ℕ: R = {(a, b) : a - b = 1}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R není tranzitivní.","R je ekvivalence.","D"
B4B01DMA,"Ověřte indukcí: 1 + 3 + 9 + ... + 3^n = (3^(n+1)-1)/2 pro všechna n ∈ ℕ.","Pravdivý.","Nepravdivý, selže základ.","Nepravdivý, selže indukce.","Nelze ověřit.","Pravdivý pouze pro n ≥ 3.","A"
B4B01DMA,"NSD(90, 36) pomocí Euklidova algoritmu je:","6","12","18","30","36","C"
B4B01DMA,"Relace R na množině ℤ: R = {(a, b) : a + b je liché}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R není symetrická.","R je ekvivalence.","D"
B4B01DMA,"Posloupnost: i(n) = 2i(n-1) + n, i(1) = 2. Jaká je hodnota i(3)?","6","9","12","15","18","D"
B4B01DMA,"Které číslo je dělitelné 6?","12345","23456","34567","45678","56789","D"
B4B01DMA,"Relace R na množině ℕ: R = {(a, b) : a + b ≥ 5}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R není tranzitivní.","R je ekvivalence.","D"
B4B01DMA,"Ověřte indukcí: 1 + 6 + 11 + ... + (5n-4) = n(5n-3)/2 pro všechna n ∈ ℕ.","Pravdivý.","Nepravdivý, selže základ.","Nepravdivý, selže indukce.","Nelze ověřit.","Pravdivý pouze pro n ≥ 4.","A"
B4B01DMA,"NSD(48, 16) pomocí Euklidova algoritmu je:","4","8","12","16","24","D"
B4B01DMA,"Relace R na množině ℤ: R = {(a, b) : a - b je dělitelné 5}. Které tvrzení je pravdivé?","R není reflexivní.","R není symetrická.","R je ekvivalence.","R není tranzitivní.","R je antisymetrická.","C"
B4B01DMA,"Posloupnost: j(n) = j(n-1) + j(n-2), j(0) = 0, j(1) = 1. Jaká je hodnota j(5)?","3","5","8","13","21","B"
B4B01DMA,"Které tvrzení o Euklidově algoritmu je pravdivé?","Vrací vždy sudé číslo.","Funguje pouze pro liché čísla.","Je založen na násobení čísel.","Vrací vždy prvočíslo.","Lze ho použít pro libovolná celá čísla.","E"
B4B01DMA,"Relace R na množině ℕ: R = {(a, b) : a + b = 8}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R je antisymetrická.","R je ekvivalence.","B"
B4B01DMA,"Ověřte indukcí: 2 + 4 + 8 + ... + 2^n = 2^(n+1) - 2 pro všechna n ∈ ℕ.","Pravdivý.","Nepravdivý, selže základ.","Nepravdivý, selže indukce.","Nelze ověřit.","Pravdivý pouze pro n ≥ 2.","A"
B4B01DMA,"NSD(75, 30) pomocí Euklidova algoritmu je:","5","10","15","25","30","C"
B4B01DMA,"Relace R na množině ℤ: R = {(a, b) : a + b je dělitelné 6}. Které tvrzení je pravdivé?","R není reflexivní.","R není symetrická.","R je ekvivalence.","R není tranzitivní.","R je antisymetrická.","C"
B4B01DMA,"Posloupnost: k(n) = 2k(n-1) + 1, k(0) = 1. Jaká je hodnota k(4)?","7","15","31","63","127","B"
B4B01DMA,"Které číslo je dělitelné 8?","12345","23456","34567","45678","56789","B"
B4B01DMA,"Relace R na množině ℕ: R = {(a, b) : a ≤ b + 1}. Které tvrzení je pravdivé?","R je reflexivní a tranzitivní.","R není reflexivní.","R není symetrická.","R není tranzitivní.","R je ekvivalence.","A"
B4B01DMA,"Ověřte indukcí: 1 + 2 + 3 + ... + n = n(n+1)/2 pro všechna n ∈ ℕ.","Pravdivý.","Nepravdivý, selže základ.","Nepravdivý, selže indukce.","Nelze ověřit.","Pravdivý pouze pro n ≥ 3.","A"
B4B01DMA,"NSD(54, 18) pomocí Euklidova algoritmu je:","6","9","12","18","27","D"
B4B01DMA,"Relace R na množině ℤ: R = {(a, b) : a = -b}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R není symetrická.","R je ekvivalence.","B"
B4B01DMA,"Posloupnost: l(n) = 3l(n-1) + 2, l(0) = 0. Jaká je hodnota l(3)?","8","14","20","26","32","C"
B4B01DMA,"Které tvrzení o celých číslech je pravdivé?","Součet dvou sudých čísel je liché.","Součin dvou lichých čísel je liché.","Součet sudého a lichého čísla je sudý.","Každé celé číslo je dělitelné 5.","Součin dvou sudých čísel je liché.","B"
B4B01DMA,"Relace R na množině ℕ: R = {(a, b) : a - b = 2}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R není tranzitivní.","R je ekvivalence.","D"
B4B01DMA,"Ověřte indukcí: 1 + 4 + 16 + ... + 4^n = (4^(n+1)-1)/3 pro všechna n ∈ ℕ.","Pravdivý.","Nepravdivý, selže základ.","Nepravdivý, selže indukce.","Nelze ověřit.","Pravdivý pouze pro n ≥ 3.","A"
B4B01DMA,"NSD(60, 24) pomocí Euklidova algoritmu je:","4","6","12","24","30","C"
B4B01DMA,"Relace R na množině ℤ: R = {(a, b) : a + b je dělitelné 7}. Které tvrzení je pravdivé?","R není reflexivní.","R není symetrická.","R je ekvivalence.","R není tranzitivní.","R je antisymetrická.","C"
B4B01DMA,"Posloupnost: m(n) = 2m(n-1) + m(n-2), m(0) = 1, m(1) = 1. Jaká je hodnota m(4)?","5","7","9","11","13","Vstupní hodnota m(4) je 7.
B4B01DMA,"Které číslo je dělitelné 5?","12345","23456","34567","45678","56789","E"
B4B01DMA,"Relace R na množině ℕ: R = {(a, b) : a + b ≤ 6}. Které tvrzení je pravdivé?","R je reflexivní.","R je symetrická.","R je tranzitivní.","R není tranzitivní.","R je ekvivalence.","D"
B4B01DMA,"Ověřte indukcí: 1 + 5 + 9 + ... + (4n-3) = n(4n-1) pro všechna n ∈ ℕ.","Pravdivý.","Nepravdivý, selže základ.","Nepravdivý, selže indukce.","Nelze ověřit.","Pravdivý pouze pro n ≥ 4.","A"
B4B01DMA,"NSD(42, 14) pomocí Euklidova algoritmu je:","2","7","14","21","28","B"
B4B01DMA,"Relace R na množině ℤ: R = {(a, b) : a - b je dělitelné 4}. Které tvrzení je pravdivé?","R není reflexivní.","R není symetrická.","R je ekvivalence.","R není tranzitivní.","R je antisymetrická.","C"
B4B01DMA,"Posloupnost: n(n) = 2n(n-1) + 3, n(0) = 0. Jaká je hodnota n(3)?","9","15","21","27","33","B"
B4B01DMA,"Které tvrzení o Euklidově algoritmu je pravdivé?","Vrací vždy liché číslo.","Funguje pouze pro kladná čísla.","Je založen na násobení čísel.","Vrací vždy prvočíslo.","Lze ho použít pro libovolná celá čísla.","E"
B0B36PRP,"Jaký je výstup následujícího kódu? ```c #include <stdio.h> int main() { int x = 5; printf(\"\"%d\"\", x + 3); return 0; } ```","A. 5","B. 8","C. 3","D. 53","E. Chyba kompilace","B"
B0B36PRP,"Co dělá tato funkce? ```c int func(int x) { if (x <= 1) return 1; return x * func(x - 1); } ```","A. Vrací x","B. Vrací x squared","C. Vrací x!","D. Vrací 2**x","E. Nekonečná rekurze","C"
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { int* p; *p = 10; return 0; } ```","A. Nic, je správný","B. Ukazatel p není inicializován","C. Chybí printf","D. int* by měl být int","E. Chybí return 1","B"
B0B36PRP,"Jak správně alokovat pole 5 celých čísel?","A. int arr[5];","B. int* arr = malloc(5);","C. int* arr = malloc(5 * sizeof(int));","D. int arr = new int[5];","E. int* arr = calloc(5);","C"
B0B36PRP,"Jaká je časová složitost přidání prvku na konec spojového seznamu bez ukazatele na konec?","A. O(1)","B. O(n)","C. O(log n)","D. O(n log n)","E. O(n**2)","B"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int i; for (i = 0; i < 3; i++); printf(\"\"%d\"\", i); return 0; } ```","A. 0 1 2","B. 3","C. 0","D. 1 2 3","E. Chyba kompilace","B"
B0B36PRP,"Jaký je výsledek? ```c int x = 10; x -= 2; ```","A. 12","B. 8","C. 10","D. 2","E. Chyba kompilace","B"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> void func(int n) { if (n <= 0) return; printf(\"\"%d \"\", n); func(n-1); } int main() { func(4); return 0; } ```","A. 1 2 3 4","B. 4 3 2 1","C. 0 1 2 3 4","D. 4","E. Nekonečná rekurze","B"
B0B36PRP,"Co dělá tento kód? ```c int x = 5; int* p = &x; *p = 15; ```","A. Nastaví x na 15","B. Nastaví p na 15","C. Chyba kompilace","D. Runtime error","E. Nic, p není alokováno","A"
B0B36PRP,"Jak vložit prvek na začátek spojového seznamu?","A. Projděte seznam a přidejte","B. Přidejte na začátek","C. Přidejte na konec","D. Použijte zásobník","E. Nelze přidat","B"
B0B36PRP,"Co se stane při běhu tohoto kódu? ```c #include <stdio.h> int main() { int x = 10 / 0; printf(\"\"%d\"\", x); return 0; } ```","A. Vytiskne 0","B. Vytiskne 10","C. Chyba kompilace","D. Runtime error","E. Nekonečná smyčka","D"
B0B36PRP,"Co je špatně na tomto kódu? ```c int* func() { int x = 5; return &x; } ```","A. Nic, je správný","B. Vrací adresu lokální proměnné","C. Chybí malloc","D. x by měl být globální","E. Chybí int main","B"
B0B36PRP,"Jak deklarovat ukazatel na funkci vracející int?","A. int f();","B. int* f();","C. int (*f)();","D. int f*();","E. func int f;","C"
B0B36PRP,"K čemu slouží funkce free?","A. Alokuje paměť","B. Uvolňuje paměť","C. Kopíruje paměť","D. Inicializuje paměť","E. Nic z toho","B"
B0B36PRP,"Kde se přidávají prvky v zásobníku pomocí spojového seznamu?","A. Na začátek","B. Na konec","C. Uprostřed","D. Záleží na implementaci","E. Nelze přidat","A"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int x = 5; int* p = &x; printf(\"\"%d\"\", *p); return 0; } ```","A. 5","B. Adresa x","C. 0","D. Chyba kompilace","E. Runtime error","A"
B0B36PRP,"Jaká je hodnota str po tomto kódu? ```c char str[] = \"hello\"; str[0] = 'H'; ```","A. hello","B. Hello","C. ello","D. Hhello","E. Chyba kompilace","B"
B0B36PRP,"Co je výstupem? ```c #include <stdio.h> int main() { int a[3] = {1, 2, 3}; printf(\"\"%d\"\", a[3]); return 0; } ```","A. 3","B. Náhodná hodnota","C. 0","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Jak definovat strukturu s názvem Point?","A. struct Point { int x; int y; };","B. Point { int x; int y; };","C. struct { int x; int y; } Point;","D. int Point { x, y };","E. Chyba, nejde definovat","A"
B0B36PRP,"Co vrací sizeof(int)?","A. Velikost v bitech","B. Velikost v bytech","C. 0","D. Počet prvků","E. Chyba kompilace","B"
B0B36PRP,"Co dělá tento kód? ```c int x = 5; x = x << 1; ```","A. x se zdvojnásobí","B. x se zmenší o 1","C. x se posune doprava","D. Chyba kompilace","E. Nic se nestane","A"
B0B36PRP,"Jak uvolnit paměť alokovanou pro pole?","A. delete arr;","B. free(arr);","C. arr = NULL;","D. free(*arr);","E. Nelze uvolnit","B"
B0B36PRP,"Co je špatně na tomto kódu? ```c #include <stdlib.h> int main() { int* p = malloc(4); free(p); free(p); return 0; } ```","A. Nic, je správný","B. Dvojité uvolnění p","C. Chybí sizeof","D. p není inicializováno","E. Chybí return 1","B"
B0B36PRP,"Jaký je výstup? ```c #include <stdio.h> int main() { int x = 3; printf(\"\"%d\"\", x++); return 0; } ```","A. 4","B. 3","C. 2","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Co je časová složitost vyhledání prvku v nesetříděném spojovém seznamu?","A. O(1)","B. O(n)","C. O(log n)","D. O(n log n)","E. O(n**2)","B"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int x = 5; if (x = 3) printf(\"ano\"); return 0; } ```","A. ano","B. Nic","C. Chyba kompilace","D. Runtime error","E. 5","A"
B0B36PRP,"Jak inicializovat ukazatel na NULL?","A. int* p = 0;","B. int* p = NULL;","C. int* p = nullptr;","D. int* p;","E. int* p = -1;","B"
B0B36PRP,"Co dělá operátor &?","A. Bitové AND","B. Vrací adresu","C. Dereferencuje ukazatel","D. Porovnává hodnoty","E. Nic z toho","B"
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { char* s; s[0] = 'a'; return 0; } ```","A. Nic, je správný","B. s není alokováno","C. Chybí #include","D. s by měl být int","E. Chybí return 1","B"
B0B36PRP,"Jak předat pole funkci?","A. int func(int arr);","B. int func(int arr[]);","C. int func(int* arr);","D. int func(&arr);","E. Nelze předat","B"
B0B36PRP,"Co vrací tento kód? ```c int func(int x) { return x > 0 ? x : -x; } ```","A. Absolutní hodnotu x","B. x squared","C. -x","D. 0","E. Chyba kompilace","A"
B0B36PRP,"Co je výstupem? ```c #include <stdio.h> int main() { int x = 5; printf(\"\"%d\"\", ++x); return 0; } ```","A. 5","B. 6","C. 4","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Jaký je účel klíčového slova static v deklaraci proměnné?","A. Zvyšuje rychlost","B. Zachovává hodnotu mezi voláními","C. Zabraňuje přístupu","D. Alokuje dynamicky","E. Nic z toho","B"
B0B36PRP,"Co dělá tento kód? ```c int* p = malloc(sizeof(int)); *p = 10; free(p); ```","A. Alokuje a uvolní paměť","B. Chyba kompilace","C. Runtime error","D. Nastaví p na 10","E. Nic, p je NULL","A"
B0B36PRP,"Jak odstranit prvek ze spojového seznamu?","A. Přeskočit ukazatel na další prvek","B. Nastavit prvek na NULL","C. Použít free na celý seznam","D. Nelze odstranit","E. Použít zásobník","A"
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { int x; scanf(\"\"%d\"\", x); return 0; } ```","A. Nic, je správný","B. Chybí & před x","C. Chybí printf","D. x není inicializováno","E. Chybí #include","B"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { char c = 'A'; printf(\"\"%d\"\", c); return 0; } ```","A. A","B. 65","C. 0","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Jak definovat union v C?","A. union U { int x; char c; };","B. union { int x; char c; } U;","C. U { int x; char c; };","D. int union U { x, c };","E. Nelze definovat","A"
B0B36PRP,"Co je výstupem? ```c #include <stdio.h> int main() { int x = 5; x *= 2; printf(\"\"%d\"\", x); return 0; } ```","A. 5","B. 10","C. 2","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Jaká je časová složitost operace pop v zásobníku (array)?","A. O(1)","B. O(n)","C. O(log n)","D. O(n log n)","E. O(n**2)","A"
B0B36PRP,"Co dělá tento kód? ```c int x = 5; int* p = &x; p++; ```","A. Zvýší x o 1","B. Posune ukazatel o sizeof(int)","C. Chyba kompilace","D. Runtime error","E. Nic, p je NULL","B"
B0B36PRP,"Jak alokovat paměť pro strukturu?","A. struct S* p = malloc(sizeof(struct S));","B. struct S* p = new S;","C. struct S p = malloc(sizeof(S));","D. struct S* p = calloc(1);","E. Nelze alokovat","A"
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { int* p = malloc(4); *p = 5; return 0; } ```","A. Nic, je správný","B. Neuvolněná paměť","C. Chybí sizeof(int)","D. p není dereferencováno","E. Chybí return 1","B"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int x = 0; while (x < 3) printf(\"\"%d \"\", x++); return 0; } ```","A. 0 1 2","B. 1 2 3","C. 0 1","D. Nekonečná smyčka","E. Chyba kompilace","A"
B0B36PRP,"Jak deklarovat dvourozměrné pole?","A. int arr[2,3];","B. int arr[2][3];","C. int* arr[2][3];","D. int arr[2,3] = {1,2,3};","E. Nelze deklarovat","B"
B0B36PRP,"Co vrací tento kód? ```c int func(int x) { if (x == 0) return 0; return func(x-1) + 1; } ```","A. x","B. x-1","C. 0","D. Nekonečná rekurze","E. Chyba kompilace","A"
B0B36PRP,"Co je výstupem? ```c #include <stdio.h> int main() { int x = 5; x = x >> 1; printf(\"\"%d\"\", x); return 0; } ```","A. 10","B. 2","C. 5","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Jak přistoupit k prvku struktury přes ukazatel?","A. p.x","B. p->x","C. *p.x","D. &p.x","E. Nelze přistoupit","B"
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { int arr[3]; arr[3] = 5; return 0; } ```","A. Nic, je správný","B. Přístup mimo pole","C. Chybí inicializace","D. arr by měl být ukazatel","E. Chybí return 1","B"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int x = 1; do { printf(\"\"%d \"\", x); x++; } while (x < 3); return 0; } ```","A. 1 2","B. 1","C. 2","D. Nekonečná smyčka","E. Chyba kompilace","A"
B0B36PRP,"Jak inicializovat pole nulami?","A. int arr[5] = {0};","B. int arr[5] = NULL;","C. int arr[5] = {};","D. int arr[5] = 0;","E. Nelze inicializovat","A"
B0B36PRP,"Co dělá operátor * u ukazatele?","A. Vrací adresu","B. Dereferencuje ukazatel","C. Násobí hodnoty","D. Alokuje paměť","E. Nic z toho","B"
B0B36PRP,"Co je časová složitost přidání prvku do fronty (spojový seznam)?","A. O(1)","B. O(n)","C. O(log n)","D. O(n log n)","E. O(n**2)","A"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { char str[] = \"abc\"; printf(\"\"%s\"\", str + 1); return 0; } ```","A. abc","B. bc","C. a","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Jak deklarovat globální proměnnou?","A. int x; (mimo funkce)","B. global int x;","C. int x = global;","D. static int x; (ve funkci)","E. Nelze deklarovat","A"
B0B36PRP,"Co je výstupem? ```c #include <stdio.h> int main() { int x = 5; int y = x % 2; printf(\"\"%d\"\", y); return 0; } ```","A. 2","B. 1","C. 0","D. Chyba kompilace","E. Runtime error","B"
B0B36PRP,"Co dělá tento kód? ```c struct Node { int data; struct Node* next; }; ```","A. Definuje spojový seznam","B. Alokuje paměť","C. Chyba kompilace","D. Vytvoří pole","E. Nic z toho","A"
B0B36PRP,"Co je špatně na tomto kódu? ```c int main() { int* p = malloc(4); p = malloc(8); return 0; } ```","A. Nic, je správný","B. Memory leak","C. Chybí free","D. p není dereferencováno","E. Chybí return 1","B"
B0B36PRP,"Jaký je výstup? ```c #include <stdio.h> int main() { int x = 5; printf(\"\"%d\"\", x & 3); return 0; } ```","A. 1","B. 3","C. 5","D. 0","E. Chyba kompilace","A"
B0B36PRP,"Co je časová složitost operace push v zásobníku (spojový seznam)?","A. O(1)","B. O(n)","C. O(log n)","D. O(n log n)","E. O(n**2)","A"
B0B36PRP,"Co vytiskne tento kód? ```c #include <stdio.h> int main() { int x = 5; x |= 2; printf(\"\"%d\"\", x); return 0; } ```","A. 5","B. 2","C. 7","D. Chyba kompilace","E. Runtime error","C"
B0B36PRP,"Jak přistoupit k poli v union?","A. u.arr[0]","B. u->arr[0]","C. *u.arr[0]","D. &u.arr[0]","E. Nelze přistoupit","A"
